Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.462000	18.945000	24.696000	2.366000	22.648000	27.883000	
1.000000	0.009999	2.290000	24.585000	32.248000	2.092000	38.417000	45.611000	
2.000000	0.009998	2.198000	29.949000	38.390000	2.116000	39.055000	46.127000	
3.000000	0.009996	2.121000	32.891000	42.730000	2.101000	35.050000	41.997000	
4.000000	0.009993	2.057000	35.825000	45.812000	1.903000	46.288000	57.831000	
5.000000	0.009990	2.025000	37.866000	48.025000	1.945000	42.414000	51.807000	
6.000000	0.009987	1.968000	40.536000	50.998000	1.756000	52.348000	64.372000	
7.000000	0.009983	1.940000	43.334000	53.863000	1.758000	54.628000	64.028000	
8.000000	0.009978	1.899000	45.708000	55.621000	1.866000	46.751000	58.176000	
9.000000	0.009973	1.870000	48.872000	57.943000	1.707000	62.866000	67.470000	
10.000000	0.009967	1.827000	50.814000	59.918000	1.749000	57.699000	64.028000	
11.000000	0.009961	1.810000	52.626000	61.111000	1.673000	62.041000	70.740000	
12.000000	0.009954	1.811000	53.626000	61.936000	1.636000	62.952000	70.740000	
13.000000	0.009947	1.793000	55.487000	63.238000	1.634000	61.986000	70.912000	
14.000000	0.009939	1.776000	54.764000	62.609000	1.617000	70.366000	76.076000	
15.000000	0.009931	1.747000	58.247000	65.430000	1.592000	67.125000	74.010000	
16.000000	0.009922	1.728000	59.853000	66.797000	1.638000	67.095000	70.912000	
17.000000	0.009912	1.710000	59.578000	66.428000	1.600000	68.329000	74.355000	
18.000000	0.009902	1.700000	60.879000	67.925000	1.597000	68.337000	75.043000	
19.000000	0.009892	1.703000	61.147000	67.578000	1.573000	69.853000	74.355000	
20.000000	0.009881	1.677000	61.654000	68.359000	1.527000	74.909000	80.034000	
21.000000	0.009869	1.664000	62.790000	69.813000	1.615000	70.143000	73.322000	
22.000000	0.009857	1.643000	65.340000	70.964000	1.512000	76.563000	80.379000	
23.000000	0.009844	1.649000	64.597000	70.573000	1.504000	74.564000	78.657000	
24.000000	0.009831	1.647000	65.265000	70.486000	1.561000	73.302000	76.764000	
25.000000	0.009818	1.616000	67.255000	72.613000	1.526000	75.110000	77.797000	
26.000000	0.009803	1.627000	65.564000	71.224000	1.525000	73.732000	77.969000	
27.000000	0.009789	1.627000	66.698000	71.853000	1.620000	71.226000	74.355000	
28.000000	0.009773	1.611000	66.490000	71.615000	1.538000	71.851000	78.313000	
29.000000	0.009758	1.609000	67.364000	72.656000	1.564000	72.127000	75.904000	
30.000000	0.009741	1.596000	68.737000	73.611000	1.554000	68.549000	75.559000	
31.000000	0.009725	1.581000	69.551000	74.067000	1.515000	77.245000	79.174000	
32.000000	0.009707	1.573000	70.458000	74.978000	1.534000	75.514000	79.002000	
33.000000	0.009690	1.590000	69.180000	73.611000	1.533000	76.785000	79.346000	
34.000000	0.009671	1.579000	69.299000	74.154000	1.558000	74.695000	77.453000	
35.000000	0.009652	1.567000	71.170000	75.651000	1.466000	77.367000	82.272000	
36.000000	0.009633	1.552000	72.028000	76.237000	1.559000	70.452000	75.904000	
37.000000	0.009613	1.575000	69.742000	74.653000	1.537000	73.149000	77.969000	
38.000000	0.009593	1.552000	71.607000	76.063000	1.444000	80.423000	82.788000	
39.000000	0.009572	1.532000	73.656000	77.539000	1.425000	81.204000	84.165000	
40.000000	0.009551	1.552000	72.986000	76.497000	1.482000	78.898000	81.239000	
41.000000	0.009529	1.543000	73.727000	76.910000	1.438000	80.045000	83.133000	
42.000000	0.009507	1.545000	73.236000	77.127000	1.451000	79.861000	82.788000	
43.000000	0.009484	1.542000	73.110000	76.693000	1.524000	74.245000	78.657000	
44.000000	0.009460	1.533000	72.478000	77.170000	1.479000	79.911000	81.928000	
45.000000	0.009437	1.519000	74.167000	77.843000	1.539000	72.281000	76.764000	
46.000000	0.009412	1.537000	73.666000	77.192000	1.445000	81.373000	83.133000	
