Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.457000	18.645000	24.197000	2.435000	19.751000	27.539000	
1.000000	0.009999	2.316000	25.278000	32.834000	2.260000	27.099000	34.423000	
2.000000	0.009998	2.196000	29.367000	38.043000	2.245000	29.610000	38.382000	
3.000000	0.009996	2.124000	32.670000	42.274000	2.027000	37.593000	47.160000	
4.000000	0.009993	2.088000	33.969000	44.162000	1.912000	47.927000	56.282000	
5.000000	0.009990	2.035000	37.422000	47.331000	1.872000	49.551000	59.208000	
6.000000	0.009987	1.977000	40.277000	50.629000	1.904000	44.344000	55.422000	
7.000000	0.009983	1.925000	43.299000	53.711000	1.806000	52.193000	62.651000	
8.000000	0.009978	1.901000	45.066000	55.425000	1.716000	53.185000	64.372000	
9.000000	0.009973	1.851000	48.374000	58.702000	1.724000	57.164000	66.609000	
10.000000	0.009967	1.860000	49.128000	59.266000	1.657000	62.186000	71.084000	
11.000000	0.009961	1.790000	53.316000	62.956000	1.662000	61.419000	69.707000	
12.000000	0.009954	1.782000	53.919000	62.956000	1.733000	56.877000	65.921000	
13.000000	0.009947	1.771000	54.526000	62.977000	1.685000	61.430000	68.158000	
14.000000	0.009939	1.747000	57.337000	64.822000	1.697000	65.143000	71.256000	
15.000000	0.009931	1.735000	57.719000	65.820000	1.654000	63.930000	70.396000	
16.000000	0.009922	1.716000	60.158000	66.992000	1.555000	71.185000	75.731000	
17.000000	0.009912	1.693000	61.818000	68.772000	1.601000	63.487000	71.084000	
18.000000	0.009902	1.684000	60.655000	68.099000	1.557000	67.836000	75.215000	
19.000000	0.009892	1.673000	63.584000	69.965000	1.595000	65.477000	71.945000	
20.000000	0.009881	1.655000	63.420000	69.748000	1.533000	74.953000	78.485000	
21.000000	0.009869	1.638000	65.971000	71.528000	1.558000	74.727000	77.625000	
22.000000	0.009857	1.645000	64.339000	70.681000	1.523000	73.520000	77.797000	
23.000000	0.009844	1.632000	65.091000	70.595000	1.547000	72.270000	77.281000	
24.000000	0.009831	1.617000	67.134000	72.613000	1.519000	74.536000	77.969000	
25.000000	0.009818	1.616000	67.223000	72.569000	1.557000	71.885000	76.764000	
26.000000	0.009803	1.607000	68.182000	72.982000	1.521000	75.483000	80.034000	
27.000000	0.009789	1.600000	67.765000	73.199000	1.526000	71.722000	77.281000	
28.000000	0.009773	1.592000	68.627000	73.850000	1.495000	75.810000	79.346000	
29.000000	0.009758	1.569000	70.780000	75.716000	1.498000	73.954000	78.657000	
