Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.433000	19.750000	25.564000	2.336000	23.323000	31.153000	
1.000000	0.009999	2.283000	25.734000	33.767000	2.205000	29.239000	38.382000	
2.000000	0.009998	2.169000	30.553000	39.800000	1.999000	41.482000	49.570000	
3.000000	0.009996	2.075000	36.227000	46.181000	2.035000	41.361000	49.225000	
4.000000	0.009993	2.041000	37.616000	47.786000	1.899000	42.583000	53.012000	
5.000000	0.009990	1.983000	41.095000	51.063000	1.920000	42.802000	53.184000	
6.000000	0.009987	1.962000	41.324000	51.649000	1.786000	55.215000	63.855000	
7.000000	0.009983	1.898000	46.536000	56.120000	1.733000	55.590000	65.060000	
8.000000	0.009978	1.901000	46.314000	56.141000	1.813000	55.836000	63.167000	
9.000000	0.009973	1.864000	48.938000	58.095000	1.784000	54.088000	63.511000	
10.000000	0.009967	1.840000	50.246000	59.527000	1.667000	61.390000	68.675000	
11.000000	0.009961	1.808000	52.292000	60.959000	1.724000	62.933000	68.158000	
12.000000	0.009954	1.789000	53.649000	61.827000	1.650000	66.940000	72.289000	
13.000000	0.009947	1.773000	55.484000	63.455000	1.641000	65.782000	72.117000	
14.000000	0.009939	1.768000	56.078000	64.106000	1.672000	60.025000	69.363000	
15.000000	0.009931	1.742000	57.998000	65.538000	1.595000	67.271000	74.010000	
16.000000	0.009922	1.719000	60.239000	66.862000	1.589000	71.686000	76.592000	
17.000000	0.009912	1.708000	59.259000	66.905000	1.546000	75.123000	78.141000	
18.000000	0.009902	1.691000	61.596000	68.273000	1.630000	69.457000	72.978000	
19.000000	0.009892	1.679000	63.640000	69.466000	1.565000	71.449000	76.764000	
20.000000	0.009881	1.682000	62.290000	68.685000	1.554000	72.416000	76.764000	
21.000000	0.009869	1.674000	63.682000	68.989000	1.526000	72.626000	77.969000	
22.000000	0.009857	1.654000	64.771000	70.747000	1.514000	73.719000	78.313000	
23.000000	0.009844	1.633000	66.117000	71.615000	1.598000	65.894000	71.945000	
24.000000	0.009831	1.636000	65.644000	71.463000	1.520000	73.772000	78.657000	
25.000000	0.009818	1.617000	67.546000	72.613000	1.498000	74.405000	79.862000	
26.000000	0.009803	1.631000	66.462000	71.636000	1.592000	67.580000	75.043000	
27.000000	0.009789	1.625000	67.199000	72.287000	1.579000	72.512000	76.420000	
28.000000	0.009773	1.606000	67.736000	72.591000	1.473000	78.994000	81.928000	
29.000000	0.009758	1.593000	68.846000	73.698000	1.496000	76.362000	80.379000	
30.000000	0.009741	1.601000	68.804000	73.416000	1.506000	77.184000	80.379000	
31.000000	0.009725	1.580000	69.035000	74.002000	1.453000	77.260000	81.583000	
32.000000	0.009707	1.571000	70.294000	74.718000	1.503000	70.872000	76.592000	
33.000000	0.009690	1.571000	70.339000	74.957000	1.433000	79.357000	82.616000	
34.000000	0.009671	1.567000	70.402000	74.913000	1.472000	79.026000	81.928000	
35.000000	0.009652	1.560000	71.561000	75.673000	1.427000	81.881000	83.993000	
36.000000	0.009633	1.571000	70.107000	74.609000	1.472000	77.528000	80.379000	
37.000000	0.009613	1.572000	70.458000	74.957000	1.470000	77.427000	80.379000	
