Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.464000	18.357000	24.501000	2.395000	21.583000	27.711000	
1.000000	0.009999	2.283000	24.531000	32.335000	2.095000	38.337000	45.439000	
2.000000	0.009998	2.180000	30.721000	39.041000	2.100000	39.886000	46.299000	
3.000000	0.009996	2.107000	34.166000	43.793000	2.041000	39.917000	47.676000	
4.000000	0.009993	2.038000	37.459000	47.721000	1.852000	47.419000	57.487000	
5.000000	0.009990	1.997000	38.969000	49.045000	1.936000	43.095000	52.668000	
6.000000	0.009987	1.949000	41.899000	52.300000	1.792000	50.499000	62.134000	
7.000000	0.009983	1.916000	44.320000	54.666000	1.717000	56.012000	65.404000	
8.000000	0.009978	1.873000	47.644000	57.357000	1.808000	52.870000	64.544000	
9.000000	0.009973	1.837000	50.281000	59.939000	1.654000	65.380000	71.256000	
10.000000	0.009967	1.801000	52.196000	60.938000	1.707000	62.720000	69.880000	
11.000000	0.009961	1.793000	53.401000	62.348000	1.630000	68.050000	74.355000	
12.000000	0.009954	1.787000	54.526000	62.717000	1.612000	65.334000	72.633000	
13.000000	0.009947	1.759000	57.248000	64.692000	1.614000	62.630000	71.429000	
14.000000	0.009939	1.737000	58.521000	66.189000	1.605000	71.504000	76.248000	
15.000000	0.009931	1.718000	59.638000	66.970000	1.567000	70.647000	76.248000	
16.000000	0.009922	1.704000	60.079000	66.797000	1.624000	66.665000	71.601000	
17.000000	0.009912	1.690000	62.783000	68.945000	1.605000	71.578000	75.043000	
18.000000	0.009902	1.671000	62.021000	68.924000	1.553000	70.828000	76.764000	
19.000000	0.009892	1.664000	64.339000	70.356000	1.509000	71.039000	77.108000	
20.000000	0.009881	1.647000	64.816000	70.573000	1.512000	75.707000	80.034000	
21.000000	0.009869	1.628000	65.804000	71.918000	1.680000	66.348000	70.396000	
22.000000	0.009857	1.614000	67.171000	72.201000	1.492000	72.927000	79.174000	
23.000000	0.009844	1.627000	66.496000	71.658000	1.536000	70.824000	75.215000	
24.000000	0.009831	1.626000	66.440000	71.311000	1.578000	71.098000	74.699000	
25.000000	0.009818	1.604000	68.509000	73.676000	1.507000	75.633000	79.174000	
26.000000	0.009803	1.592000	68.264000	73.047000	1.489000	74.776000	79.518000	
27.000000	0.009789	1.587000	69.030000	74.023000	1.509000	75.751000	80.034000	
28.000000	0.009773	1.581000	71.004000	75.260000	1.520000	74.048000	79.174000	
29.000000	0.009758	1.571000	70.672000	74.913000	1.505000	75.404000	79.174000	
30.000000	0.009741	1.572000	70.192000	74.523000	1.594000	66.199000	73.666000	
31.000000	0.009725	1.549000	72.485000	76.476000	1.468000	79.835000	81.756000	
32.000000	0.009707	1.532000	73.939000	77.713000	1.523000	76.340000	78.313000	
33.000000	0.009690	1.562000	71.142000	75.195000	1.514000	76.467000	78.657000	
34.000000	0.009671	1.537000	72.909000	77.083000	1.542000	76.712000	78.141000	
35.000000	0.009652	1.531000	73.626000	77.691000	1.441000	78.055000	81.756000	
36.000000	0.009633	1.518000	74.282000	77.886000	1.519000	72.143000	77.281000	
37.000000	0.009613	1.544000	72.342000	76.454000	1.488000	74.827000	79.002000	
38.000000	0.009593	1.511000	75.480000	78.993000	1.418000	80.850000	83.133000	
39.000000	0.009572	1.498000	75.792000	79.297000	1.413000	80.003000	83.133000	
40.000000	0.009551	1.528000	74.049000	77.778000	1.490000	78.474000	80.723000	
41.000000	0.009529	1.514000	74.796000	78.277000	1.434000	82.019000	84.165000	
42.000000	0.009507	1.509000	75.572000	79.253000	1.434000	79.379000	82.788000	
43.000000	0.009484	1.508000	75.976000	79.297000	1.482000	77.047000	81.067000	
44.000000	0.009460	1.502000	75.521000	79.253000	1.436000	82.173000	84.165000	
45.000000	0.009437	1.495000	76.549000	79.253000	1.496000	76.112000	78.830000	
46.000000	0.009412	1.492000	76.043000	79.470000	1.400000	81.456000	84.337000	
47.000000	0.009388	1.494000	76.429000	79.557000	1.445000	77.892000	81.239000	
48.000000	0.009363	1.471000	77.691000	80.773000	1.400000	79.531000	83.133000	
49.000000	0.009337	1.481000	78.118000	80.729000	1.413000	80.553000	83.649000	
50.000000	0.009311	1.461000	78.564000	81.120000	1.399000	81.658000	84.854000	
51.000000	0.009284	1.467000	78.510000	80.924000	1.436000	80.730000	82.960000	
52.000000	0.009257	1.474000	77.850000	80.946000	1.394000	82.329000	85.026000	
53.000000	0.009229	1.468000	78.321000	80.816000	1.444000	78.892000	82.100000	
54.000000	0.009201	1.458000	80.167000	82.422000	1.412000	82.607000	83.821000	
55.000000	0.009173	1.453000	79.121000	81.576000	1.383000	82.191000	84.337000	
56.000000	0.009144	1.460000	78.053000	80.946000	1.431000	78.849000	82.616000	
